代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00371	北控水务集团	-0.90	74367048	5.480	5.530	2000	13618140	0.18	5.500	5.520	5.430	--  	1.08	1.63	-0.050	   1206	5.470	5.480	7153664.00	
00378	五龙动力	-0.85	10062580	1.170	1.180	2000	8752000	0.86	1.170	1.190	1.120	--  	0.00	5.93	-0.010	    245	1.150	1.170	298695.41	
00384	中国燃气	-2.04	50272540	12.480	12.740	2000	4029350	0.16	12.800	12.800	12.300	--  	0.40	3.92	-0.260	    604	12.460	12.480	5527213.50	
00386	中国石油化工股份	-3.44	827180544	5.890	6.100	2000	140188416	0.17	6.000	6.000	5.860	--  	0.00	2.30	-0.210	   3806	5.890	5.890	141314800.00	
00388	香港交易所	-0.73	699653184	190.400	191.800	100	3676706	0.11	191.300	191.400	189.300	--  	1.07	1.09	-1.400	   2369	190.300	190.400	24731800.00	
00390	中国中铁	-1.94	140027184	7.070	7.210	1000	19752456	0.14	7.120	7.190	7.030	--  	0.00	2.22	-0.140	   1558	7.060	7.070	73558376.00	
00392	北京控股	-2.72	157061632	41.200	42.350	500	3764385	-0.12	42.350	42.750	40.850	--  	0.73	4.49	-1.150	    731	41.200	41.200	14564236.00	
00400	科通芯城	-0.56	24213430	10.620	10.680	1000	2288630	0.38	10.700	10.800	10.480	--  	0.00	3.00	-0.060	    261	10.600	10.620	555669.63	
00410	ＳＯＨＯ中国	-0.25	28254284	4.060	4.070	500	6955400	0.50	4.060	4.120	4.020	--  	5.47	2.46	-0.010	    674	4.050	4.060	6808785.00	
00412	中国新金融	-2.78	668100	0.350	0.360	6000	1884000	0.00	0.360	0.370	0.345	--  	0.00	6.94	-0.010	     67	0.345	0.350	503937.69	
00419	华谊腾讯娱乐	-3.61	7499263	0.400	0.415	10000	18957500	2.56	0.415	0.415	0.385	--  	0.00	7.23	-0.015	    155	0.395	0.400	116317.00	
00425	敏实集团	0.58	67024272	26.000	25.850	2000	2567694	0.00	25.950	26.650	25.800	--  	0.00	3.29	0.150	    456	25.900	26.000	1317074.00	
00439	光启科学	-1.92	14789191	3.070	3.130	1000	4772000	0.00	3.120	3.140	3.070	--  	0.00	2.24	-0.060	    127	3.070	3.070	246837.50	
00440	大新金融	0.09	40629500	57.200	57.150	400	714183	0.44	57.000	57.200	56.700	--  	0.51	0.87	0.050	    206	57.000	57.200	21431954.00	
00451	协鑫新能源	0.00	4889250	0.395	0.395	2000	12162000	0.00	0.400	0.405	0.395	--  	0.00	2.53	0.000	    112	0.395	0.395	3175333.75	
00460	四环医药	-0.35	73251160	2.850	2.860	1000	25840500	0.00	2.860	2.880	2.800	--  	0.56	2.80	-0.010	   1326	2.830	2.850	1304990.25	
00468	纷美包装	0.26	2665989	3.860	3.850	1000	692010	0.52	3.860	3.890	3.830	--  	2.85	1.56	0.010	    217	3.850	3.860	281757.59	
00489	东风集团股份	-1.42	88393288	9.000	9.130	2000	9809364	0.00	9.150	9.180	8.920	--  	0.00	2.85	-0.130	    984	8.990	9.000	16965500.00	
00493	国美电器	-2.83	131486880	1.030	1.060	1000	126254080	-0.96	1.060	1.060	1.030	--  	0.00	2.83	-0.030	   1287	1.030	1.030	5744027.50	
00494	利丰	-0.82	127346424	3.610	3.640	2000	35624312	0.84	3.640	3.640	3.530	--  	3.05	3.02	-0.030	   1168	3.590	3.610	726463.81	
00506	中国食品	-1.15	9323130	3.450	3.490	2000	2708000	0.29	3.490	3.520	3.420	--  	0.35	2.87	-0.040	    223	3.430	3.450	1669144.00	
00511	电视广播	1.22	51268748	33.100	32.700	100	1563300	0.76	32.650	33.100	32.400	--  	1.81	2.14	0.400	   1219	32.750	33.100	834451.38	
00522	ASM PACIFIC	-2.02	140903840	102.000	104.100	100	1366320	-0.39	103.600	104.100	101.500	--  	1.08	2.50	-2.100	   1193	101.900	102.000	1563895.25	
00525	广深铁路股份	-1.02	11984941	4.870	4.920	2000	2452000	-0.20	4.880	4.950	4.850	--  	0.00	2.03	-0.050	    369	4.870	4.870	3135597.50	
00530	高银金融	-3.57	85536656	2.970	3.080	2000	28624336	0.00	3.100	3.100	2.950	--  	0.00	4.87	-0.110	    975	2.970	2.970	3100341.25	
00546	阜丰集团	-0.79	29426686	5.000	5.040	1000	5893641	0.20	4.980	5.020	4.900	--  	0.76	2.38	-0.040	    342	4.990	5.000	1407666.25	
00547	数字王国	-1.11	14972795	0.445	0.450	10000	33798200	0.00	0.450	0.450	0.440	--  	0.00	2.22	-0.005	    479	0.440	0.445	193672.70	
