代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08087	中国三三传媒	0.00	121860	--  	--  	4170000	600000	3.45	          0.07	  0.23	0.029	
08023	邝文记	1.01	120960	--  	--  	240000	24000	-1.96	          0.04	  0.26	0.500	
08340	域高金融	0.00	120950	--  	--  	260000	10000	1.08	          0.04	  0.13	0.465	
08251	优越集团控股	0.00	120500	--  	--  	160000	50000	0.00	          0.04	  0.99	0.760	
08429	冰雪集团	0.00	119200	--  	--  	175000	5000	1.49	          0.04	  0.23	0.700	
08342	飞思达科技	0.00	118750	--  	--  	85000	30000	0.00	          0.02	  0.24	1.400	
08126	Ｇ．Ａ．控股	6.98	118460	--  	--  	260000	8000	-2.13	          0.05	  0.79	0.445	
08460	基地锦标集团	-2.71	110310	--  	--  	500000	170000	0.00	          0.05	  0.92	0.221	
08006	华泰瑞银	0.97	107842	--  	--  	533000	60000	1.46	          0.14	  3.09	0.206	
08152	明梁控股	0.00	105250	--  	--  	370000	10000	0.00	          0.06	  2.64	0.285	
08189	泰达生物	-3.57	100125	--  	--  	255000	5000	-3.57	          0.02	  0.21	0.400	
08132	中油港燃	1.85	99710	--  	--  	1870000	100000	0.00	          0.03	  0.92	0.051	
08057	麦迪森控股	1.88	97840	--  	--  	60000	20000	1.88	          0.00	  0.03	1.640	
08407	兴证国际	0.00	95360	--  	--  	74000	6000	0.00	          0.00	  0.21	1.280	
08493	龙皇集团	0.00	94464	--  	--  	516000	360000	0.55	          0.04	  0.38	0.183	
08501	庄皇集团公司	0.00	92180	--  	--  	62000	4000	-1.33	          0.03	  1.42	1.480	
08193	汉华专业服务	2.13	89075	--  	--  	1900000	50000	4.35	          0.03	  0.19	0.049	
08108	福泽集团	4.48	86820	--  	--  	1266528	438000	1.45	          0.14	  0.06	0.067	
08019	皓文控股	0.00	86760	--  	--  	860000	760000	0.00	          0.04	  5.19	0.100	
08523	常满控股	-1.20	86150	--  	--  	210000	10000	0.00	          0.05	  0.22	0.410	
08048	御德国际控股	0.99	85936	--  	--  	834000	36000	0.00	          0.05	  0.45	0.104	
08350	骏溢环球金融	-1.28	84920	--  	--  	224000	112000	0.00	          0.03	  0.10	0.375	
08221	PF GROUP	-3.29	83780	--  	--  	600000	100000	7.30	          0.03	  1.40	0.138	
08352	成安控股	-1.43	82000	--  	--  	240000	30000	0.00	          0.04	  0.40	0.340	
08095	北大青鸟环宇	0.00	79680	--  	--  	58000	1000	0.00	          0.01	  0.30	1.370	
08278	CMON	2.00	78050	--  	--  	310000	110000	0.00	          0.02	  0.68	0.250	
08375	弘浩国际控股	-0.51	77730	--  	--  	400000	20000	1.03	          0.05	  1.80	0.197	
08157	象兴国际	1.61	75100	--  	--  	240000	140000	0.00	          0.02	  0.42	0.310	
08065	高萌科技	-2.22	73850	--  	--  	165000	30000	-2.22	          0.04	  0.05	0.440	
08358	卓珈控股	2.31	73550	--  	--  	55000	30000	0.00	          0.01	  0.67	1.350	
08246	北方新能源	0.00	71400	--  	--  	280000	280000	0.00	          0.01	  0.11	0.255	
08355	超智能控股	0.00	69600	--  	--  	210000	30000	0.00	          0.02	  0.70	0.325	
08025	亚洲资产	0.43	69344	--  	--  	298000	56000	0.00	          0.02	  0.35	0.236	
08256	金利通	-3.45	66548	--  	--  	2376000	900000	0.00	          0.20	  0.35	0.029	
08067	东方大学城控股	-4.70	66440	--  	--  	18000	2000	0.83	          0.01	  0.80	3.700	
08188	骏杰集团控股	-1.96	61040	--  	--  	244000	100000	0.00	          0.05	  0.57	0.255	
08051	讯智海	-2.42	60500	--  	--  	5000	3000	0.00	          0.02	  0.75	12.100	
08169	环康集团	1.56	55870	--  	--  	290000	10000	3.17	          0.04	  1.42	0.192	
08272	华人饮食集团	-5.88	54540	--  	--  	3220000	100000	0.00	          0.10	  0.56	0.016	
08109	麒麟集团控股	0.00	54440	--  	--  	3135360	15000	-5.56	          0.07	  0.32	0.017	
08252	泰和小贷	-1.61	53500	--  	--  	22000	2000	1.66	          0.01	  1.96	2.450	
08063	环球大通集团	4.81	51000	--  	--  	500000	150000	0.00	          0.01	  2.02	0.102	
08245	安悦国际控股	-1.89	50685	--  	--  	965000	90000	0.00	          0.03	  0.44	0.052	
08242	宏创高科	-1.46	48960	--  	--  	360000	10000	0.75	          0.03	  0.32	0.137	
08119	即时科研	6.25	47600	--  	--  	70000	70000	0.00	          0.03	  1.12	0.680	
08431	浩柏国际	-5.41	47250	--  	--  	270000	50000	0.00	          0.02	  0.22	0.175	
08045	南大苏富特	1.90	44904	--  	--  	210000	210000	0.00	          0.04	  1.43	0.213	
08509	威扬酒业控股	0.00	42480	--  	--  	60000	60000	0.00	          0.01	  0.14	0.710	
08329	海王英特龙	-7.59	41800	--  	--  	110000	10000	-5.19	          0.03	  0.34	0.385	
08268	迪臣建设	-1.52	40584	--  	--  	208000	160000	0.00	          0.02	  1.04	0.196	
08009	华夏能源控股	7.14	40480	--  	--  	900000	200000	0.00	          0.04	  0.78	0.044	
08028	天时软件	-3.92	37220	--  	--  	740000	120000	4.26	          0.03	  0.37	0.051	
08411	K W NELSON GP	1.72	34350	--  	--  	120000	10000	3.51	          0.01	  0.14	0.290	
08368	中国创意控股	-3.35	33995	--  	--  	147000	2000	0.00	          0.01	  0.38	0.232	
08360	利骏集团香港	1.20	33600	--  	--  	200000	200000	0.00	          0.04	  0.34	0.168	
08135	正美丰业	-3.45	33600	--  	--  	60000	60000	0.00	          0.01	  0.34	0.560	
08050	量子思维	-1.90	32360	--  	--  	16000	2000	21.18	          0.00	  0.08	2.070	
08363	SDM GROUP	-1.33	31060	--  	--  	84000	44000	1.37	          0.02	  0.59	0.375	
08406	合宝丰年	-1.64	30200	--  	--  	100000	10000	0.00	          0.01	  0.06	0.300	
08310	大丰港	15.87	29600	--  	--  	40000	20000	0.00	          0.00	  0.45	0.750	
08409	海鑫集团	-5.95	29350	--  	--  	70000	10000	2.60	          0.01	  0.47	0.420	
08085	香港生命科学	2.53	28864	--  	--  	352000	16000	-1.22	          0.01	  0.02	0.082	
08348	滨海泰达物流	-3.51	28600	--  	--  	26000	18000	0.00	          0.03	  0.38	1.100	
08003	世大控股	-4.76	28328	--  	--  	480000	162000	0.00	          0.02	  0.53	0.060	
08269	富誉控股	1.85	27780	--  	--  	243999	4666	0.00	          0.03	  0.21	0.113	
08153	科地农业	0.00	24968	--  	--  	212000	75000	0.00	          0.01	  0.02	0.118	
08213	新智控股	-11.69	24420	--  	--  	380000	310000	9.68	          0.01	  1.02	0.078	
08031	易通讯集团	-1.23	24000	--  	--  	30000	10000	0.00	          0.01	  0.46	0.800	
08230	中国宇天	-2.04	23625	--  	--  	50000	10000	-1.03	          0.01	  0.62	0.470	
08423	CHI HO DEV	-0.85	23300	--  	--  	20000	10000	0.00	          0.00	  0.13	1.160	
08271	环球数码创意	-6.43	23100	--  	--  	100000	100000	0.87	          0.01	  0.37	0.231	
08218	毅高国际控股	-0.53	23096	--  	--  	124000	4000	0.00	          0.01	  0.96	0.187	
