代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
603133	碳元科技	4.36	87825752	1.16	27.76	27.78	31572	57	0.00	          6.07	26.50	
002749	国光股份	5.96	87658640	3.91	69.51	69.54	12755	86	0.00	          2.63	65.40	
600676	交运股份	2.78	86878144	0.17	6.27	6.28	140779	8	0.00	          1.46	6.05	
00151	中国旺旺	0.32	86246288	0.020	6.340	6.350	13432728	1160000	0.32	          0.11	6.490	
000007	全新好	2.42	86181848	0.34	14.37	14.38	59318	807	-0.34	          1.92	14.50	
300521	爱司凯	4.95	86046088	0.68	14.42	14.43	59564	500	-0.54	          6.28	13.55	
002538	司尔特	3.29	85422616	0.26	8.16	8.17	105838	1300	0.00	          1.51	7.98	
000985	大庆华科	10.02	84310208	1.94	21.30	--  	40010	40	0.00	          3.09	20.77	
600523	贵航股份	0.19	84260352	0.03	15.85	15.86	53004	7	0.06	          1.84	15.77	
002885	京泉华	2.81	83601600	0.97	35.49	35.50	23745	543	0.31	         11.87	34.28	
000712	锦龙股份	0.20	83442096	0.03	15.00	15.01	55422	865	0.13	          0.62	14.99	
600628	新世界	3.10	82537392	0.29	9.64	9.65	86271	58	0.00	          1.62	9.36	
600073	上海梅林	2.31	82512776	0.17	7.53	7.54	110408	50	0.13	          1.18	7.35	
002359	北讯集团	0.67	82358744	0.18	27.21	27.22	30439	380	0.11	          0.43	27.03	
002836	新宏泽	1.51	82255224	0.27	18.16	18.17	45676	467	0.17	          8.10	17.65	
300696	爱乐达	0.38	81435088	0.22	57.90	57.93	14015	180	0.24	          8.12	57.68	
000731	四川美丰	0.63	80177312	0.05	8.00	8.01	100962	2858	0.25	          1.71	7.99	
603557	起步股份	1.50	79998008	0.26	17.61	17.62	45821	10	0.34	          9.75	17.58	
000948	南天信息	1.54	79902648	0.17	11.18	11.19	72542	2372	0.27	          2.94	10.95	
603578	三星新材	3.16	78486792	1.16	37.89	37.90	21001	2	0.03	          6.58	36.66	
603803	瑞斯康达	4.79	78054664	0.80	17.49	17.50	45366	15	0.46	          7.99	16.70	
06823	香港电讯－ＳＳ	0.40	77949824	0.040	--  	--  	7869024	1000	0.10	          0.10	9.900	
601118	海南橡胶	0.72	77844136	0.04	5.61	5.62	138070	121	-0.34	          0.35	5.61	
600373	中文传媒	0.19	77777576	0.03	15.92	15.93	48852	3	0.13	          0.35	15.89	
603848	好太太	0.49	77539632	0.09	18.50	18.51	42035	9	0.00	         10.25	18.74	
00023	东亚银行	1.05	77016736	0.350	33.500	33.600	2289766	371800	0.30	          0.08	33.350	
002446	盛路通信	3.94	75415280	0.33	8.70	8.71	88155	3312	0.11	          2.08	8.38	
603336	宏辉果蔬	4.75	74714744	0.93	20.50	20.52	36803	2	0.39	          6.97	19.50	
300478	杭州高新	1.53	73753248	0.58	38.53	38.58	19507	504	-0.97	          8.07	36.99	
002682	龙洲股份	1.48	72924256	0.15	10.29	10.30	69424	770	-0.09	          3.61	10.60	
300397	天和防务	0.82	72613856	0.14	17.30	17.31	41965	793	0.29	          2.70	17.15	
002843	泰嘉股份	3.41	72514352	0.60	18.19	18.20	40399	881	-0.10	          4.81	17.64	
603997	继峰股份	1.47	72247952	0.17	11.70	11.71	62585	5	0.26	          0.99	11.48	
000557	西部创业	2.80	72134648	0.13	4.77	4.78	150662	2510	0.21	          2.57	4.68	
600021	上海电力	1.93	72032592	0.16	8.45	8.46	85900	11	0.36	          0.40	8.30	
600590	泰豪科技	0.57	71998968	0.06	10.63	10.64	68004	20	0.38	          1.34	10.69	
600501	航天晨光	2.51	71846360	0.25	10.22	10.23	70923	80	-0.28	          1.74	9.92	
600152	维科精华	2.33	71387224	0.16	7.04	7.05	99990	10	0.00	          3.41	6.85	
07388	ＦＩ南方国指	0.55	71380104	0.030	--  	--  	13054700	400	-0.18	--  	5.470	
300008	天海防务	0.14	71174160	0.01	6.90	6.91	102855	436	0.29	          1.77	6.87	
002768	国恩股份	1.66	69513848	0.43	26.31	26.33	26683	524	0.73	          3.07	25.80	
603339	四方冷链	2.60	68085056	0.58	22.90	22.91	29648	20	0.39	          5.22	22.27	
601968	宝钢包装	4.75	67943728	0.23	5.06	5.07	136605	12	1.40	          4.36	4.83	
002588	史丹利	2.19	67815544	0.16	7.44	7.45	91791	3388	0.13	          1.30	7.28	
002748	世龙实业	10.00	67784360	1.30	14.30	--  	47548	56	0.00	          1.98	14.00	
600873	梅花生物	0.81	67574472	0.04	4.99	5.00	136388	20	0.60	          0.44	4.97	
600824	益民集团	3.33	67472048	0.15	4.65	4.66	146344	150	0.22	          1.39	4.49	
603326	我乐家居	0.42	67205824	0.09	21.59	21.60	31103	1	0.28	          7.78	21.75	
603042	华脉科技	1.05	67040868	0.27	25.94	25.95	25586	13	0.04	          7.53	25.90	
300598	诚迈科技	10.01	65436420	2.82	31.00	--  	21321	114	0.00	          4.41	30.49	
000722	湖南发展	3.95	65255628	0.36	9.47	9.48	70033	2535	-0.10	          1.51	9.15	
300631	久吾高科	10.01	65136144	2.80	30.76	--  	21176	597	0.00	          8.22	30.76	
300234	开尔新材	2.55	65067004	0.22	8.84	8.85	73439	816	0.00	          4.89	8.55	
002549	凯美特气	3.03	64875600	0.20	6.79	6.80	96424	2065	-0.28	          1.55	6.60	
600800	天津磁卡	10.07	63707540	0.54	5.90	--  	109095	100	0.00	          1.79	5.42	
603860	中公高科	5.04	63070748	1.66	34.56	34.59	18624	18	0.14	         11.17	32.69	
300705	九典制药	10.00	62760960	2.97	32.66	--  	19216	53	0.00	          6.55	32.66	
600704	物产中大	0.15	62624148	0.01	6.60	6.61	94444	5	-0.29	          0.71	6.60	
603060	国检集团	10.01	62594888	2.07	22.75	--  	27774	10	0.00	          4.35	20.61	
002187	广百股份	2.90	62223124	0.29	10.29	10.30	60977	2560	0.29	          1.78	10.00	
600502	安徽水利	0.15	62043368	0.01	6.72	6.73	92173	5	0.00	          1.21	6.75	
000685	中山公用	0.90	61687660	0.09	10.12	10.13	60740	305	0.00	          0.48	10.03	
002815	崇达技术	1.34	61669936	0.42	31.84	31.85	19346	157	0.25	          1.82	31.46	
603026	石大胜华	1.76	61502952	0.36	20.84	20.85	30025	1	0.97	          2.14	20.26	
000637	茂化实华	1.58	61090740	0.09	5.77	5.78	105232	1841	0.00	          2.87	5.73	
000698	沈阳化工	1.81	60843160	0.10	5.62	5.63	108444	771	0.18	          2.51	5.50	
