Date,Open,High,Low,Close,Volume
2017-01-27,5.120,5.150,5.100,5.110,237511
2017-02-02,5.090,5.100,5.000,5.010,423741
2017-02-03,5.010,5.050,4.980,5.000,683832
2017-02-06,5.020,5.040,4.980,5.040,333806
2017-02-07,5.030,5.050,5.010,5.020,352444
2017-02-08,5.060,5.150,5.020,5.150,604700
2017-02-09,5.180,5.240,5.120,5.160,1019560
2017-02-10,5.200,5.230,5.180,5.200,708724
2017-02-13,5.220,5.240,5.190,5.220,457832
2017-02-14,5.220,5.230,5.170,5.200,502474
2017-02-15,5.200,5.270,5.190,5.230,1201103
2017-02-16,5.250,5.250,4.860,4.880,2813669
2017-02-17,4.840,4.850,4.680,4.700,2694634
2017-02-20,4.680,4.780,4.630,4.760,1174547
2017-02-21,4.770,4.770,4.670,4.700,771393
2017-02-22,4.720,4.750,4.690,4.700,587786
2017-02-23,4.690,4.690,4.610,4.650,1299226
2017-02-24,4.650,4.780,4.640,4.740,1082107
2017-02-27,4.720,4.730,4.680,4.700,354871
2017-02-28,4.680,4.710,4.650,4.660,652167
2017-03-01,4.680,4.690,4.650,4.670,383481
2017-03-02,4.730,4.750,4.660,4.660,458557
2017-03-03,4.630,4.700,4.620,4.670,549755
2017-03-06,4.690,4.720,4.660,4.680,355435
2017-03-07,4.670,4.720,4.670,4.710,373427
2017-03-08,4.680,4.720,4.670,4.690,323683
2017-03-09,4.670,4.690,4.630,4.660,242758
2017-03-10,4.680,4.680,4.610,4.660,379676
