date	Price
1327	4.71
1326	4.71
1325	4.70
1324	4.71
1323	4.71
1322	4.71
1321	4.69
1320	4.70
1319	4.70
1318	4.70
1317	4.70
1316	4.69
1315	4.70
1314	4.69
1313	4.69
1312	4.69
1311	4.69
1310	4.69
1309	4.69
1308	4.70
1307	4.69
1306	4.70
1305	4.69
1304	4.70
1303	4.69
1302	4.70
1301	4.70
1300	4.70
1200	4.70
1159	4.70
1158	4.70
1157	4.70
1156	4.69
1155	4.70
1154	4.70
1153	4.70
1152	4.69
1151	4.70
1150	4.70
1149	4.70
1148	4.70
1147	4.70
1146	4.70
1145	4.70
1144	4.70
1143	4.70
1142	4.70
1141	4.70
1140	4.70
1139	4.70
1138	4.69
1137	4.70
1136	4.70
1135	4.70
1134	4.70
1133	4.70
1132	4.70
1131	4.70
1130	4.70
1129	4.70
1128	4.70
1127	4.70
1126	4.70
1125	4.70
1124	4.71
1123	4.71
1122	4.70
1121	4.69
1120	4.70
1119	4.70
1118	4.70
1117	4.70
1116	4.70
1115	4.70
1114	4.70
1113	4.69
1112	4.70
1111	4.70
1110	4.70
1109	4.70
1108	4.70
1107	4.70
1106	4.69
1105	4.69
1104	4.69
1103	4.69
1102	4.69
1101	4.69
1100	4.69
1059	4.68
1058	4.68
1057	4.69
1056	4.69
1055	4.69
1054	4.69
1053	4.69
1052	4.69
1051	4.69
1050	4.69
1049	4.68
1048	4.68
1047	4.68
1046	4.68
1045	4.67
1044	4.68
1043	4.68
1042	4.69
1041	4.69
1040	4.69
1039	4.69
1038	4.69
1037	4.69
1036	4.69
1035	4.69
1034	4.69
1033	4.69
1032	4.69
1031	4.69
1030	4.69
1029	4.69
1028	4.69
1027	4.69
1026	4.69
1025	4.69
1024	4.68
1023	4.69
1022	4.69
1021	4.69
1020	4.69
1019	4.69
1018	4.68
1017	4.69
1016	4.69
1015	4.69
1014	4.68
1013	4.68
1012	4.69
1011	4.69
1010	4.68
1009	4.69
1008	4.69
1007	4.69
1006	4.69
1005	4.69
1004	4.69
1003	4.70
1002	4.70
1001	4.70
1000	4.70
0959	4.70
0958	4.71
0957	4.70
0956	4.71
0955	4.70
0954	4.71
0953	4.70
0952	4.70
0951	4.70
0950	4.71
0949	4.69
0948	4.70
0947	4.69
0946	4.69
0945	4.68
0944	4.71
0943	4.71
0942	4.71
0941	4.70
0940	4.71
0939	4.71
0938	4.71
0937	4.71
0936	4.71
0935	4.71
0934	4.71
0933	4.71
0932	4.70
0931	4.71
0930	4.70
1600	4.71
1559	4.71
1558	4.70
1557	4.70
1556	4.70
1555	4.70
1554	4.70
1553	4.70
1552	4.71
1551	4.71
1550	4.70
1549	4.71
1548	4.70
1547	4.70
1546	4.71
1545	4.70
1544	4.70
1543	4.70
1542	4.71
1541	4.70
1540	4.71
1539	4.70
1538	4.71
1537	4.71
1536	4.70
1535	4.70
1534	4.71
1533	4.70
1532	4.71
1531	4.70
1530	4.70
1529	4.71
1528	4.70
1527	4.70
1526	4.71
1525	4.70
1524	4.70
1523	4.70
1522	4.70
1521	4.70
1520	4.70
1519	4.71
1518	4.70
1517	4.71
1516	4.70
1515	4.71
1514	4.71
1513	4.70
1512	4.71
1511	4.70
1510	4.70
1509	4.70
1508	4.70
1507	4.70
