代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
08292	盛良物流	0.83	4835500	--  	--  	3920000	10000	-2.40	          0.49	  3.31	1.210	1.290	
08300	皇玺餐饮集团	12.03	4686040	--  	--  	32420000	40000	0.00	          1.23	  0.95	0.133	0.160	
08483	名仕快相	1.64	4600120	--  	--  	14696000	16000	0.00	          1.84	  0.83	0.305	0.315	
08309	万成环球控股	-15.00	4579700	--  	--  	13030000	10000	0.00	          2.17	 22.94	0.380	0.380	
08147	汇思太平洋	-13.87	4565456	--  	--  	21368000	192000	-1.44	          0.39	  2.97	0.242	0.242	
08462	桥英控股	2.17	4531000	--  	--  	2495000	5000	1.08	          0.42	  0.91	1.810	1.880	
08392	舍图控股	-2.33	4254800	--  	--  	10400000	20000	1.20	          1.04	  0.47	0.430	0.430	
08479	金泰丰国际控股	-2.66	3784200	--  	--  	1484000	4000	1.19	          0.35	  0.35	2.520	2.700	
08153	科地农业	0.00	3297106	--  	--  	27883800	20000	1.69	          1.51	 41.68	0.120	0.126	
08032	非凡中国	0.00	3267760	--  	--  	3548000	152000	0.00	          0.04	  1.54	0.920	0.940	
08142	德利机械	0.00	3024950	--  	--  	8810000	110000	2.94	          0.88	  1.28	0.350	0.350	
08359	HYPEBEAST	-1.32	2820200	--  	--  	3780000	20000	0.00	          0.19	  0.37	0.750	0.760	
08470	莹岚集团	4.29	2637520	--  	--  	1600000	1000000	0.00	          0.27	  1.43	1.580	1.710	
08238	惠陶集团	-4.11	2557416	--  	--  	36896000	1000000	0.00	          0.43	  0.76	0.074	0.074	
08100	智易控股	-1.18	2547330	--  	--  	6108000	6000	1.20	          1.37	  0.46	0.420	0.425	
08176	超人智能	18.28	2521800	--  	--  	250000	15000	1.85	          0.05	  8.27	9.400	11.000	
08275	永勤集团控股	-6.67	2500900	--  	--  	1290000	10000	2.62	          0.22	  0.29	2.100	2.100	
08047	中国海洋捕捞	-4.69	2479840	--  	--  	4100000	300000	0.00	          0.12	  0.15	0.640	0.640	
08445	怡康泰工程集团	-6.85	2309400	--  	--  	3330000	10000	1.49	          0.56	  0.21	0.720	0.720	
08175	中国数码文化	-8.20	2074900	--  	--  	3540000	50000	-3.45	          0.18	  3.19	0.600	0.610	
08165	华普智通	5.88	2013310	--  	--  	50690000	400000	-2.70	          2.18	 10.45	0.034	0.047	
08417	大地教育	0.00	2006100	--  	--  	2500000	90000	0.00	          0.14	  3.47	0.770	0.820	
08018	汇财金融投资	5.59	1938229	--  	--  	9953000	90000	0.00	          0.79	 16.47	0.190	0.210	
08321	泰锦控股	-0.49	1902930	--  	--  	9000000	100000	0.00	          1.13	  6.58	0.207	0.224	
08250	丝路能源	3.45	1890740	--  	--  	32460000	60000	0.00	          0.47	  2.76	0.058	0.060	
08279	亚博科技控股	-3.03	1858789	--  	--  	1932553	4000	1.05	          0.02	  0.61	0.980	0.980	
08367	倩碧控股	-4.98	1855680	--  	--  	8780000	30000	-0.94	          1.10	  0.78	0.215	0.215	
08130	智城控股	-1.16	1851300	--  	--  	10780000	100000	0.00	          0.33	  1.74	0.170	0.174	
08308	古兜控股	-2.94	1828520	--  	--  	1080000	8000	0.00	          0.11	  3.26	1.700	1.830	
08340	域高金融	2.15	1819550	--  	--  	3740000	20000	0.00	          0.58	  1.10	0.480	0.520	
08089	华人策略控股	-1.89	1653518	--  	--  	617200	1800	-1.89	          0.30	  1.27	2.700	2.700	
08410	安领国际	-2.36	1541360	--  	--  	1213000	30000	-0.80	          0.12	  1.69	1.320	1.320	
08463	TOMO HOLDINGS	0.00	1444080	--  	--  	904000	16000	0.00	          0.20	  1.06	1.500	1.610	
08228	国艺娱乐	-2.78	1439000	--  	--  	4100000	40000	0.00	          0.09	  0.16	0.350	0.355	
08346	创新电子控股	10.17	1435900	--  	--  	4340000	200000	1.56	          0.72	 22.60	0.300	0.345	
08287	ZIONCOM	-3.30	1430450	--  	--  	3290000	50000	0.00	          0.50	  0.35	0.460	0.460	
08229	FUTURE DATA	15.62	1425150	--  	--  	4085000	50000	0.00	          1.02	 12.01	0.320	0.375	
08136	英马斯集团	6.67	1388050	--  	--  	3520000	50000	0.00	          0.35	  1.93	0.360	0.400	
08315	冠辉集团控股	-2.86	1345080	--  	--  	39730000	100000	0.00	          0.51	  1.65	0.034	0.035	
08421	永顺控股香港	-3.37	1245175	--  	--  	2890000	200000	0.00	          0.48	  3.84	0.445	0.480	
08457	健升物流中国	-3.25	1127260	--  	--  	4610000	60000	-0.42	          0.58	  0.70	0.255	0.255	
08373	靛蓝星	-4.55	1090950	--  	--  	950000	10000	-3.67	          0.24	  2.58	1.150	1.240	
08337	直通电讯	-11.83	1080250	--  	--  	6930000	20000	-0.67	          0.22	  0.46	0.162	0.166	
08112	基石金融	-3.86	1068744	--  	--  	4656000	24000	-3.86	          0.41	  2.40	0.222	0.239	
08195	L&A INTL HOLD	-6.02	1068326	--  	--  	13553200	600000	0.00	          1.06	  0.46	0.081	0.083	
08313	杰地集团	-1.59	1062750	--  	--  	3410000	310000	-1.59	          0.17	  0.46	0.315	0.315	
08065	高萌科技	5.81	1035100	--  	--  	2320000	10000	1.11	          0.58	  2.42	0.440	0.470	
08001	东方汇财证券	-1.19	1023600	--  	--  	1236000	60000	0.00	          0.29	  0.41	0.840	0.840	
08487	ISP GLOBAL	-8.33	992400	--  	--  	1470000	50000	-1.49	          0.18	  0.22	0.730	0.730	
08145	电讯首科	4.35	960740	--  	--  	402000	10000	0.00	          0.31	  2.00	2.380	2.400	
08043	ATLINKS	1.79	930250	--  	--  	1665000	5000	0.00	          0.42	  1.38	0.570	0.580	
08167	中国新电信	0.56	918124	--  	--  	5096000	4000	0.00	          0.05	  1.91	0.179	0.189	
08026	长达健康	3.85	914240	--  	--  	3228000	2000	-5.26	          0.27	  7.76	0.260	0.285	
08257	靖洋集团	0.00	807750	--  	--  	2980000	10000	0.00	          0.30	  0.50	0.275	0.275	
08198	乐透互娱	1.63	794468	--  	--  	3220000	200000	0.00	          0.10	  0.39	0.250	0.250	
08050	量子思维	-3.93	762060	--  	--  	346000	40000	0.46	          0.03	  0.41	2.300	2.410	
08532	宝发控股	-1.38	758992	--  	--  	3584000	80000	0.00	          0.45	  0.29	0.210	0.216	
08181	港深联合	9.59	754080	--  	--  	1920000	8000	0.00	          0.22	  5.24	0.365	0.435	
08199	中国万桐园	-4.92	749650	--  	--  	2550000	70000	0.00	          0.26	  2.56	0.305	0.305	
08192	环球能源资源	4.55	747420	--  	--  	2208000	12000	0.00	          0.21	  0.94	0.335	0.350	
08328	信义香港	0.00	744665	--  	--  	354250	4000	0.00	--  	220.96	2.110	2.110	
08342	飞思达科技	-0.71	735550	--  	--  	525000	10000	-0.71	          0.11	  0.25	1.390	1.420	
08007	环球战略集团	0.00	732580	--  	--  	5390000	1250000	0.00	          0.10	  1.25	0.135	0.137	
08030	汇联金融服务	-1.14	726800	--  	--  	830000	5000	0.00	          0.05	  1.19	0.880	0.890	
08430	春能控股	0.00	696675	--  	--  	2190000	5000	0.00	          0.34	  0.47	0.320	0.325	
08217	联旺集团	0.00	694100	--  	--  	2410000	10000	1.75	          0.19	  0.68	0.290	0.290	
08510	TOPSTANDARDCORP	0.42	658256	--  	--  	2784000	16000	0.00	          0.35	  3.01	0.238	0.239	
08128	中国地能	-1.27	648408	--  	--  	4168000	240000	0.00	          0.10	  0.20	0.156	0.162	
08413	亚洲杂货	-2.76	647760	--  	--  	3710000	40000	0.00	          0.32	  0.67	0.178	0.183	
08513	迎宏控股	-1.85	624200	--  	--  	1180000	32000	0.00	          0.29	  0.49	0.520	0.550	
