代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
601169	北京银行	0.42	398866560	7.24	7.23	7.24	551131	9	-0.27	          0.30	7.18	
600436	片仔癀	4.07	395497856	72.62	72.61	72.62	55108	5	-0.15	          0.91	69.50	
000681	视觉中国	6.15	394119744	22.60	22.60	22.62	180673	2738	0.44	          6.46	21.30	
000895	双汇发展	5.61	391232832	26.55	26.52	26.55	149483	1354	-0.22	          0.45	25.16	
600438	通威股份	10.06	390398944	9.74	9.74	--  	413679	10	0.00	          1.49	9.01	
601888	中国国旅	3.57	390254528	48.45	48.48	48.49	81021	3	0.50	          0.41	47.50	
601390	中国中铁	-2.21	388849568	7.52	7.51	7.52	515895	115	0.00	          0.28	7.56	
600313	农发种业	10.12	387857696	3.81	3.81	--  	1059269	64	0.00	         10.66	3.34	
300044	赛为智能	4.47	387224800	16.82	16.81	16.82	233576	2686	0.18	          9.66	16.32	
300343	联创互联	5.35	384479264	14.96	14.95	14.96	260516	3091	0.54	          6.89	14.24	
000060	中金岭南	1.87	383936512	9.83	9.82	9.83	393307	5642	0.00	          1.78	9.70	
600398	海澜之家	2.27	383760576	11.70	11.70	11.71	325444	6	0.34	          0.72	11.63	
000807	云铝股份	3.88	383621984	7.77	7.76	7.77	499143	5344	0.13	          2.22	7.55	
600426	华鲁恒升	1.52	381212512	16.65	16.65	16.66	230046	15	-0.59	          1.42	16.38	
300676	华大基因	6.13	379144256	157.92	157.92	157.93	24355	462	0.28	          6.07	151.00	
300487	蓝晓科技	10.00	378944320	23.88	23.88	--  	167328	191	0.00	         19.78	21.98	
000996	中国中期	10.01	378723648	14.29	14.29	--  	266810	619	0.00	          7.73	14.00	
300253	卫宁健康	10.06	375929216	8.64	8.64	--  	448355	860	0.00	          3.91	7.87	
300316	晶盛机电	4.35	373980256	16.31	16.31	16.32	229754	1513	-0.05	          2.49	15.70	
002449	国星光电	5.37	372209312	17.86	17.86	17.88	213495	1783	0.45	          5.24	17.08	
601636	旗滨集团	2.40	370989504	6.41	6.41	6.42	578474	33	-0.15	          2.30	6.31	
300315	掌趣科技	1.25	370086208	6.49	6.49	6.50	568528	5374	0.00	          2.15	6.50	
600392	盛和资源	3.97	364926272	14.15	14.16	14.17	260764	40	-0.27	          2.77	13.65	
300072	三聚环保	2.59	363628608	31.68	31.68	31.69	115406	1209	0.06	          0.84	31.48	
300323	华灿光电	8.21	361180480	17.66	17.66	17.67	210969	2496	0.28	          3.06	16.39	
002600	江粉磁材	10.03	356795680	6.80	6.80	--  	540597	3344	0.00	          4.07	6.19	
000513	丽珠集团	5.24	355648096	66.69	66.68	66.69	54294	328	0.00	          1.56	64.00	
600497	驰宏锌锗	0.75	351504032	6.72	6.71	6.72	525169	76	0.30	          1.22	6.60	
002371	北方华创	4.65	351101184	28.35	28.35	28.37	123534	1444	-0.10	          3.53	27.46	
600720	祁连山	2.15	350485888	10.44	10.44	10.45	340037	11	-0.47	          4.38	10.10	
300451	创业软件	10.00	348444288	29.59	29.59	--  	122032	186	0.00	          9.46	27.59	
600919	江苏银行	0.27	348356704	7.47	7.47	7.48	465963	36	-0.12	          0.79	7.47	
300624	万兴科技	10.01	347597216	52.42	52.42	--  	68528	55	0.00	         34.26	49.60	
000155	川化股份	10.00	346838016	6.16	6.16	--  	570559	579	0.00	          6.09	5.62	
002340	格林美	4.97	346621536	6.12	6.11	6.12	574241	5528	0.16	          1.84	5.86	
000898	鞍钢股份	1.80	345423648	6.78	6.78	6.79	512826	8922	0.44	          0.83	6.71	
002797	第一创业	1.49	344942048	8.16	8.16	8.17	422359	5453	0.00	          2.20	8.14	
603260	合盛硅业	4.57	344934432	53.58	53.59	53.60	65180	6	-0.12	          9.31	51.96	
000425	徐工机械	0.74	343761440	4.06	4.05	4.06	847928	9110	0.25	          1.21	4.05	
600999	招商证券	-2.12	343534336	16.63	16.63	16.64	204765	161	-0.05	          0.42	16.86	
601186	中国铁建	0.88	342957504	10.27	10.27	10.28	334567	16	0.00	          0.29	10.20	
600183	生益科技	2.07	340997024	15.79	15.80	15.84	214332	107	0.00	          1.47	15.67	
