代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
603516	淳中科技	0.25	417250656	47.51	47.53	47.59	89280	10	0.64	         38.18	45.12	
000898	鞍钢股份	-2.48	417147584	7.07	7.06	7.07	585130	8334	0.00	          0.95	7.15	
300343	联创互联	3.37	416651680	15.66	15.66	15.67	270335	6566	-0.24	          7.15	15.18	
600438	通威股份	4.07	414211552	10.49	10.48	10.49	398632	36	0.19	          1.43	10.11	
300253	卫宁健康	0.43	412600800	9.25	9.25	9.26	449652	5399	-0.21	          3.92	9.08	
601818	光大银行	0.23	412507872	4.32	4.31	4.32	955394	49	0.00	          0.24	4.29	
000671	阳 光 城	-2.03	410549856	8.21	8.20	8.21	495756	2877	0.00	          1.53	8.25	
600498	烽火通信	2.57	407523200	29.15	29.12	29.19	140167	344	0.21	          1.38	28.10	
601086	国芳集团	1.92	404866272	10.07	10.08	10.09	403160	35	0.30	         25.20	9.65	
601108	财通证券	0.31	404138048	16.24	16.24	16.25	250366	90	0.25	          6.97	15.97	
002911	佛燃股份	10.02	403176672	27.35	27.35	--  	153478	365	0.00	         27.41	25.00	
300451	创业软件	2.35	402546848	30.86	30.85	30.86	131050	1019	0.33	         10.15	30.35	
002174	游族网络	0.66	399618272	24.28	24.27	24.28	166187	8487	0.58	          2.88	24.09	
300070	碧水源	0.24	397827808	16.60	16.59	16.60	239486	3412	0.06	          1.25	16.55	
000513	丽珠集团	4.37	392892704	71.47	71.46	71.47	55995	909	0.04	          1.61	68.24	
000933	神火股份	-0.75	390433760	7.92	7.92	7.93	493378	12765	0.25	          2.60	7.91	
002185	华天科技	1.43	389029472	7.80	7.80	7.81	500102	3816	-0.12	          2.35	7.63	
300355	蒙草生态	-0.34	388523776	11.77	11.77	11.78	332364	6629	0.09	          2.87	11.67	
300014	亿纬锂能	0.95	388335648	17.99	17.98	17.99	217168	4084	0.06	          2.65	17.69	
002410	广联达	1.94	387887296	22.08	22.08	22.09	176475	886	-0.08	          2.04	21.47	
000568	泸州老窖	1.80	386350688	59.46	59.45	59.46	65052	211	0.02	          0.46	58.58	
000425	徐工机械	-0.24	385423008	4.23	4.22	4.23	914677	21820	0.24	          1.31	4.19	
300115	长盈精密	1.97	383459328	19.18	19.17	19.18	201377	4729	0.31	          2.24	18.72	
600100	同方股份	1.07	382977856	10.39	10.39	10.40	372105	130	0.39	          1.26	10.05	
300369	绿盟科技	7.14	382182720	11.85	11.85	11.86	331487	10822	0.51	          6.06	11.04	
600348	阳泉煤业	-3.57	380672960	8.38	8.37	8.38	448537	22	-0.35	          1.87	8.54	
002063	远光软件	5.00	380274112	10.91	10.90	10.91	356473	3437	-0.26	          6.66	10.24	
600115	东方航空	-1.67	380251904	7.67	7.67	7.68	494228	50	0.00	          0.50	7.73	
000776	广发证券	0.30	379994048	16.66	16.65	16.66	228867	1824	0.12	          0.39	16.48	
