代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
300701	森霸股份	4.89	83810128	1.66	35.57	35.58	23821	539	-0.24	         11.91	33.82	
600863	内蒙华电	1.42	83452368	0.04	2.86	2.87	290506	1	-0.34	          0.50	2.81	
603882	金域医学	2.88	82121048	0.79	28.22	28.24	29488	3	0.25	          4.29	27.31	
02268	优源控股	6.78	81921152	0.230	--  	--  	22079000	1000	-0.55	          1.78	3.500	
600135	乐凯胶片	3.78	81444912	0.35	9.60	9.61	85788	100	-0.20	          2.33	9.29	
300199	翰宇药业	2.85	80825048	0.42	15.17	15.18	53832	142	-0.12	          0.92	14.73	
300534	陇神戎发	4.83	80717696	0.40	8.69	8.70	93419	1240	0.12	          4.94	8.33	
000158	常山北明	2.82	80636200	0.22	8.01	8.02	101731	1253	-0.36	          1.00	7.76	
01470	富一国际控股	35.64	80326024	0.360	--  	--  	66372000	48000	1.48	          8.30	1.020	
300702	天宇股份	5.00	79805056	1.70	35.69	35.70	22551	338	0.00	          7.52	34.00	
300013	新宁物流	3.84	79395248	0.51	13.79	13.80	58298	1434	-0.06	          2.48	13.34	
07267	ＦＬ二华夏国指	2.47	78696296	0.280	--  	--  	6791700	10000	0.00	--  	11.560	
002756	永兴特钢	6.99	78668584	1.68	25.71	25.72	31118	314	-0.30	          2.22	24.55	
000918	嘉凯城	1.75	78390856	0.12	6.96	6.97	111754	2161	-0.13	          0.62	6.83	
603777	来伊份	0.81	76427552	0.18	22.35	22.36	34285	11	-0.03	          4.40	21.83	
603607	京华激光	2.32	76415808	0.80	35.29	35.30	21834	1	0.03	          9.58	34.48	
002305	南国置业	5.79	76287664	0.23	4.19	4.20	184593	2501	0.24	          1.24	3.94	
300363	博腾股份	4.32	76008872	0.54	13.04	13.05	59326	500	0.15	          1.93	12.60	
01071	华电国际电力股份	3.60	75283400	0.100	2.880	2.890	26160000	240000	-0.69	          1.52	2.790	
600420	现代制药	3.67	74897448	0.42	11.85	11.86	63898	45	0.34	          1.11	11.43	
600687	刚泰控股	0.73	74768328	0.08	11.00	11.04	68298	500	0.27	          0.63	10.92	
