代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
600525	长园集团	0.85	34278284	14.24	14.12	0	24236	0.00	14.15	14.25	14.00	--  	0.00	1.77	0.12	   1309	14.23	-0.000	1531656.25	
000985	大庆华科	3.87	34266748	25.20	24.26	0	13824	0.07	24.35	25.35	24.00	--  	0.00	5.56	0.94	   1112	25.19	0.000	67796.31	
300519	新光药业	2.78	34186208	67.23	65.41	0	5168	0.04	65.41	67.36	65.11	--  	0.00	3.44	1.82	    756	67.23	0.000	72200.11	
300480	光力科技	3.63	34092400	17.13	16.53	0	20252	0.05	16.45	17.15	16.40	--  	0.00	4.54	0.60	   1180	17.13	-0.000	55007.55	
002534	杭锅股份	3.25	33959860	11.42	11.06	0	30154	-0.08	11.08	11.45	11.02	--  	0.00	3.89	0.36	   1381	11.41	0.000	739695.50	
603806	福斯特	3.35	33949680	33.32	32.24	0	10371	-0.03	32.39	33.37	32.06	--  	0.00	4.06	1.08	   1161	33.30	-0.000	560953.31	
600272	开开实业	1.90	33939092	14.45	14.18	0	23809	0.00	14.18	14.47	14.10	--  	0.00	2.61	0.27	    969	14.44	-0.000	100638.72	
00354	中国软件国际	0.67	33909200	4.530	4.500	2000	7542000	0.22	4.530	4.550	4.450	--  	0.26	2.22	0.030	    525	4.520	4.530	722930.31	
600310	桂东电力	1.54	33882668	7.23	7.12	0	47284	0.00	7.10	7.25	7.10	--  	0.00	2.11	0.11	   1478	7.23	0.000	1121476.63	
600768	宁波富邦	2.68	33874192	16.48	16.05	0	20979	-0.06	16.05	16.55	15.81	--  	0.00	4.61	0.43	    871	16.46	-0.000	68687.11	
02669	中海物业	9.09	33861400	1.440	1.320	5000	24040662	0.70	1.330	1.460	1.330	--  	0.76	9.85	0.120	    612	1.440	1.440	256910.91	
002559	亚威股份	4.04	33578164	11.34	10.90	0	30126	-0.17	10.90	11.40	10.84	--  	0.00	5.14	0.44	   1832	11.34	0.000	224648.52	
002033	丽江旅游	2.72	33367454	10.20	9.93	0	33137	-0.09	9.94	10.23	9.88	--  	0.00	3.52	0.27	   1223	10.20	-0.000	285067.00	
002391	长青股份	2.61	33357246	14.54	14.17	0	23320	0.06	14.24	14.55	14.10	--  	0.00	3.18	0.37	   1178	14.54	-0.000	394071.34	
000767	漳泽电力	1.78	33074472	3.44	3.38	0	96916	0.00	3.38	3.44	3.36	--  	0.00	2.37	0.06	   1107	3.43	0.000	4610498.50	
002225	濮耐股份	1.99	33056806	5.63	5.52	0	59517	0.17	5.51	5.69	5.42	--  	0.00	4.89	0.11	    865	5.63	0.000	485176.69	
600727	鲁北化工	2.17	33043388	10.38	10.16	0	32360	0.19	10.09	10.40	10.05	--  	0.00	3.44	0.22	    867	10.36	0.000	140930.45	
300193	佳士科技	2.41	32849716	8.93	8.72	0	37137	0.33	8.72	8.97	8.71	--  	0.00	2.98	0.21	   1217	8.93	0.000	250142.72	
601199	江南水务	2.33	32827514	7.03	6.87	0	47236	0.14	6.88	7.03	6.83	--  	0.00	2.91	0.16	   1143	7.02	0.000	453700.94	
300046	台基股份	7.20	32675880	20.11	18.76	0	16795	0.04	18.78	20.16	18.54	--  	0.00	8.64	1.35	   1362	20.10	0.000	102654.00	
600754	锦江股份	0.63	32507156	25.55	25.39	0	12825	0.07	25.39	25.60	25.00	--  	0.00	2.36	0.16	   1382	25.56	-0.000	4397397.00	
300204	舒泰神	3.03	32407044	16.00	15.53	0	20615	0.00	15.58	16.07	15.38	--  	0.00	4.44	0.47	   1392	15.99	0.000	243407.80	
600379	宝光股份	1.98	32244896	13.94	13.67	0	23523	-0.07	13.67	13.98	13.42	--  	0.00	4.10	0.27	    965	13.90	-0.000	69391.93	
01523	珩湾科技	12.50	32111842	0.900	0.800	8000	37219000	1.12	0.800	0.900	0.800	--  	0.00	12.50	0.100	    447	--  	0.900	3249.80	
300321	同大股份	2.90	32087152	24.82	24.12	0	13195	-0.60	24.17	24.99	23.82	--  	0.00	4.85	0.70	    854	24.82	-0.000	69727.11	
06169	宇华教育	2.60	31963910	2.760	2.690	2000	11685196	0.00	2.670	2.780	2.670	--  	1.34	4.09	0.070	    512	--  	2.760	320594.91	
603883	老百姓	2.25	31927848	43.54	42.58	0	7404	-0.02	42.35	43.55	42.02	--  	0.00	3.59	0.96	   1168	43.54	0.000	502882.56	
600665	天地源	1.52	31703724	4.67	4.60	0	68799	-0.21	4.56	4.69	4.51	--  	0.00	3.91	0.07	   2233	4.67	0.000	1872627.25	
300158	振东制药	1.61	31667938	17.00	16.73	0	18878	0.00	16.73	17.08	16.54	--  	0.00	3.23	0.27	   1730	16.99	0.000	698206.44	
300277	海联讯	10.04	31659776	8.99	8.17	0	36696	0.00	8.20	8.99	8.06	--  	0.00	11.38	0.82	   1174	8.99	-0.000	62349.20	
002519	银河电子	0.39	31413962	15.30	15.24	0	20786	0.06	15.24	15.30	14.85	--  	0.00	2.95	0.06	   1210	15.30	0.000	481538.69	
603637	镇海股份	0.56	31389252	42.96	42.72	0	7324	-0.04	42.85	43.38	42.00	--  	0.00	3.23	0.24	    664	42.93	-0.000	83998.61	
300094	国联水产	0.64	31274392	7.91	7.86	0	40195	0.00	7.83	7.93	7.64	--  	0.00	3.69	0.05	   1755	7.91	-0.000	318174.28	
002193	山东如意	1.15	31059880	14.95	14.78	0	21136	-0.33	14.85	15.03	14.40	--  	0.00	4.26	0.17	   1082	14.95	-0.000	426751.06	
002270	华明装备	2.61	31053876	11.42	11.13	0	27623	0.17	11.10	11.43	11.03	--  	0.00	3.59	0.29	   1035	11.42	0.000	237047.52	
00177	江苏宁沪高速公路	0.55	30747814	11.060	11.000	2000	2790000	0.55	11.120	11.120	10.940	--  	0.00	1.64	0.060	    389	11.000	11.060	3722143.75	
01513	丽珠医药	2.93	30741962	50.950	49.500	100	611400	0.10	49.750	51.050	49.000	--  	0.00	4.14	1.450	   1033	50.750	50.950	1133427.13	
002760	凤形股份	4.21	30702070	29.21	28.03	0	10687	-0.30	27.99	29.44	27.71	--  	0.00	6.17	1.18	    807	29.21	-0.000	103529.10	
600195	中牧股份	0.87	30660628	19.64	19.47	0	15772	-0.10	19.30	19.70	19.16	--  	0.00	2.77	0.17	    782	19.63	-0.000	611302.25	
002518	科士达	1.92	30580148	13.80	13.54	0	22364	0.00	13.52	13.82	13.46	--  	0.00	2.66	0.26	   2149	13.79	0.000	286726.44	
603718	海利生物	2.20	30499876	13.96	13.66	0	22018	0.14	13.69	14.03	13.60	--  	0.00	3.15	0.30	    644	13.95	0.000	166394.81	
600356	恒丰纸业	4.06	30386552	10.25	9.85	0	30329	0.29	9.84	10.28	9.75	--  	0.00	5.38	0.40	   1423	10.24	0.000	270346.72	
300196	长海股份	0.74	30306592	35.40	35.14	0	8612	-0.28	34.80	35.50	34.51	--  	0.00	2.82	0.26	    592	35.29	0.000	305402.38	
02128	中国联塑	0.66	30107112	6.120	6.080	1000	4959734	0.16	6.070	6.120	6.010	--  	2.45	1.81	0.040	    537	6.100	6.120	2219528.50	
600540	*ST新赛	2.98	30058304	5.88	5.71	0	52218	0.17	5.69	5.88	5.65	--  	0.00	4.03	0.17	   1009	5.86	0.000	234806.25	
600785	新华百货	2.10	29807278	23.86	23.37	0	12497	-0.08	23.45	24.14	23.45	--  	0.00	2.95	0.49	    983	23.83	0.000	440780.75	
300424	航新科技	2.77	29670860	51.50	50.11	0	5861	0.05	49.90	51.88	49.88	--  	0.00	3.99	1.39	    717	51.47	0.000	104539.36	
600983	惠而浦	1.84	29511324	9.97	9.79	0	29909	0.00	9.78	9.98	9.72	--  	0.00	2.66	0.18	   1655	9.97	0.000	922572.81	
300435	中泰股份	1.82	29490864	14.57	14.31	0	20608	-0.06	14.06	14.69	13.86	--  	0.00	5.80	0.26	   1364	14.56	-0.000	116262.10	
002712	思美传媒	1.36	29431302	27.55	27.18	0	10816	-0.18	27.03	27.85	26.89	--  	0.00	3.53	0.37	    914	27.55	-0.000	403373.72	
000975	银泰资源	1.22	29163226	13.30	13.14	0	22095	0.15	13.10	13.30	13.05	--  	0.00	1.90	0.16	    929	13.28	0.000	471373.41	
