代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600246	万通地产	1.49	17692594	4.10	4.10	4.11	43353	10	0.49	          0.36	4.06	
600851	海欣股份	0.67	17243592	10.46	10.45	10.46	16543	10	0.38	          0.22	10.42	
002502	骅威文化	0.42	17009060	7.25	7.24	7.25	23420	632	-0.13	          0.44	7.22	
000676	智度股份	2.07	16896168	10.34	10.34	10.35	16357	184	0.10	          0.52	10.22	
603226	菲林格尔	2.06	16257513	23.74	23.71	23.73	6882	24	0.21	          3.18	23.44	
002857	三晖电气	2.31	15630429	19.04	19.03	19.05	8195	138	0.26	          4.10	18.90	
00196	宏华集团	1.39	14990771	0.730	--  	--  	20903000	2000	0.00	          0.39	0.710	
000780	*ST平能	1.25	14840569	4.87	4.87	4.88	30542	529	0.00	          0.30	4.83	
300213	佳讯飞鸿	10.08	14689962	6.66	6.66	--  	22057	40	0.00	          0.60	6.66	
603637	镇海股份	0.75	14623979	17.40	17.40	17.41	8390	2	0.00	          2.52	17.44	
002696	百洋股份	2.47	14467988	17.42	17.42	17.43	8390	69	0.06	          0.48	17.12	
300449	汉邦高科	1.33	14191562	17.53	17.51	17.53	8116	102	0.11	          0.89	17.30	
600329	中新药业	1.00	14026587	13.09	13.08	13.09	10718	10	-0.07	          0.19	12.98	
603196	日播时尚	0.93	13599155	9.81	9.81	9.82	13858	5	-0.09	          2.31	9.78	
002669	康达新材	1.52	13577100	22.74	22.73	22.74	5944	75	-0.03	          0.28	22.40	
600883	博闻科技	1.90	13337338	7.52	7.51	7.53	17806	78	0.00	          0.75	7.45	
600573	惠泉啤酒	1.26	13094009	7.22	7.21	7.22	18221	1	-0.27	          0.73	7.14	
002355	兴民智通	0.72	13012818	9.73	9.73	9.74	13381	464	-0.30	          0.45	9.68	
002753	永东股份	1.46	12981797	17.37	17.37	17.38	7492	90	-0.05	          0.87	17.31	
002799	环球印务	1.71	12838857	12.51	12.51	12.54	10284	318	-0.07	          1.34	12.44	
300306	远方信息	1.76	12547855	13.90	13.90	13.91	9057	231	0.00	          0.67	13.81	
600452	涪陵电力	0.34	12435752	29.82	29.82	29.83	4197	1	-0.06	          0.26	29.70	
300527	华舟应急	1.70	12297571	22.72	22.72	22.73	5436	45	-0.08	          0.38	22.60	
300434	金石东方	2.49	11514187	21.03	21.02	21.03	5539	47	0.19	          0.99	20.61	
300522	世名科技	1.04	11147529	16.52	16.52	16.55	6770	91	0.30	          1.30	16.30	
002380	科远股份	1.04	10411943	14.63	14.62	14.63	7126	51	0.07	          0.50	14.50	
000026	飞亚达Ａ	0.20	9881679	10.05	10.05	10.07	9799	117	0.10	          0.27	10.10	
