代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
02331	李宁	1.68	240729600	0.140	8.440	8.460	28663222	4704500	1.08	          1.32	8.310	
300324	旋极信息	1.99	238788848	0.33	16.88	16.89	141631	1706	0.00	          2.09	16.50	
000016	深康佳Ａ	5.84	235746112	0.37	6.70	6.71	357616	3712	0.45	          2.24	6.34	
300647	超频三	5.26	234791296	1.21	24.20	24.21	99570	2095	0.08	         33.19	22.50	
002369	卓翼科技	2.47	234245952	0.22	9.12	9.13	256099	3116	-0.10	          6.10	8.92	
300727	润禾材料	2.75	233535968	0.90	33.59	33.60	69515	1094	-0.46	         28.49	32.65	
002004	华邦健康	3.54	232375616	0.24	7.02	7.03	329765	3660	-0.27	          1.98	6.93	
002638	勤上股份	0.18	230232304	0.01	5.51	5.52	409144	3409	0.00	          4.18	5.49	
000009	中国宝安	1.76	228125936	0.11	6.37	6.38	356732	2422	0.00	          1.68	6.23	
300122	智飞生物	0.03	223699664	0.01	31.18	31.25	70426	604	-0.05	          0.81	31.50	
002195	二三四五	0.17	223212848	0.01	5.93	5.94	374470	3600	0.17	          1.19	5.93	
600085	同仁堂	1.24	221395600	0.41	33.48	33.50	66127	100	0.06	          0.48	33.09	
600604	市北高新	3.31	220195744	0.23	7.18	7.19	306199	5	0.14	          2.94	6.96	
600726	华电能源	5.96	219284432	0.19	3.38	3.39	642242	20	0.00	          4.18	3.29	
002915	中欣氟材	1.45	216663936	0.50	34.91	34.92	62011	1094	-0.02	         22.15	34.35	
002382	蓝帆医疗	4.29	215706240	0.76	18.46	18.47	117534	889	-0.15	          2.42	17.98	
002861	瀛通通讯	6.27	215205344	1.80	30.49	30.50	71739	1060	0.96	         23.38	28.42	
00008	电讯盈科	2.86	214582448	0.130	4.670	4.680	45991800	26458000	0.21	          0.60	4.560	
000810	创维数字	10.01	212567648	0.81	8.90	--  	255204	343	0.00	          2.58	7.95	
300649	杭州园林	5.30	212303024	1.81	35.93	35.94	59754	1243	-0.05	         18.67	34.70	
002670	国盛金控	2.36	210450208	0.38	16.46	16.47	127557	1691	-0.11	          2.59	16.19	
002285	世联行	1.09	210112448	0.11	10.22	10.23	204592	2745	0.10	          1.20	10.15	
03377	远洋集团	4.43	209864544	0.260	6.110	6.130	34552492	14427500	1.49	          0.46	5.900	
300496	中科创达	0.32	208763296	0.10	31.19	31.20	65894	757	0.00	          2.95	31.70	
002714	牧原股份	1.57	206816768	0.77	49.71	49.72	41267	499	-0.01	          0.69	48.59	
600229	城市传媒	4.67	204812960	0.42	9.42	9.43	220074	58	-0.20	          5.12	9.10	
002433	太安堂	3.83	204072016	0.32	8.66	8.67	234215	1909	0.00	          3.39	8.34	
300725	药石科技	1.30	200292080	1.30	101.25	101.26	19597	241	-0.41	         10.69	99.99	
002401	中远海科	3.77	199389584	0.45	12.40	12.41	163599	3858	-0.07	          5.44	11.90	
600633	浙数文化	2.81	199160848	0.39	14.25	14.26	139142	10	-0.13	          1.08	13.92	
00751	创维数码	5.33	198344848	0.200	3.940	3.950	49766164	5026000	0.00	          1.63	3.900	
