代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
000100	TCL 集团	1.20	629993664	    20.18	        512.97亿	          1.66	家用电器	12622	-0.23	4.21	4.15	4.27	4.13	4.15	0.05	4.20	  1.18	1498602	广东	
601019	山东出版	-9.25	627732864	    22.12	        284.44亿	         16.70	出版业	96	0.15	13.64	14.80	14.80	13.60	15.02	-1.39	13.63	  0.86	445795	山东	
601636	旗滨集团	4.01	624285440	    15.18	        166.94亿	          4.02	玻璃	390	0.81	6.25	6.10	6.31	6.06	5.99	0.24	6.23	  0.70	1010656	湖南	
300666	江丰电子	-9.99	614090816	   240.71	        123.95亿	         19.33	元器件	100	0.00	56.66	61.50	61.95	56.66	62.95	-6.29	56.66	  1.02	105692	浙江	
002493	荣盛石化	2.22	602962752	    25.42	        526.99亿	          1.27	化纤	3370	-0.28	13.82	13.54	14.28	13.54	13.51	0.30	13.81	  1.04	432944	浙江	
002594	比亚迪	0.13	599016512	    46.49	       1150.08亿	          0.82	汽车整车	1272	-0.12	63.44	63.49	64.67	63.00	63.35	0.08	63.43	  0.49	93559	深圳	
600801	华新水泥	-1.12	594031680	    17.03	        238.41亿	          3.80	水泥	431	0.51	15.96	16.10	16.53	15.69	16.10	-0.18	15.92	  0.64	370132	湖北	
000786	北新建材	-0.93	593088704	    19.24	        401.36亿	          1.87	其他建材	2150	0.04	22.45	22.47	22.90	22.20	22.65	-0.21	22.44	  0.80	264164	北京	
002409	雅克科技	-9.98	587316736	   142.18	         95.17亿	         11.30	化工原料	622	0.00	27.68	30.05	30.37	27.68	30.75	-3.07	27.68	  0.90	204735	江苏	
600137	浪莎股份	-6.76	585167808	   153.45	         42.13亿	         14.08	服饰	11	3.61	42.20	46.07	47.00	41.83	46.48	-3.14	43.34	  6.96	136917	四川	
002450	康得新	-0.51	581995648	    33.07	        828.77亿	          0.85	化工原料	2349	-0.16	23.46	23.66	23.94	23.40	23.57	-0.12	23.45	  0.84	245823	江苏	
002422	科伦药业	5.50	575664192	    68.13	        351.07亿	          2.31	化学制药	2474	-0.40	24.39	23.60	24.89	23.46	23.11	1.27	24.38	  2.79	237922	四川	
002475	立讯精密	4.47	574312704	    54.45	        785.63亿	          0.74	元器件	1949	0.08	24.76	23.89	25.09	23.80	23.70	1.06	24.76	  1.13	233705	深圳	
600740	山西焦化	-0.61	568188416	   108.15	         74.96亿	          8.71	焦炭加工	37	-0.40	9.79	10.09	10.25	9.65	9.85	-0.06	9.79	  0.84	571855	山西	
601899	紫金矿业	0.00	567555008	    30.74	        681.39亿	          0.91	黄金	57	0.00	3.94	3.90	3.98	3.90	3.94	0.00	3.94	  0.69	1437162	福建	
002281	光迅科技	-1.03	566509824	    55.66	        186.73亿	          3.06	通信设备	1242	-0.46	29.70	29.75	30.44	29.40	30.00	-0.31	29.69	  0.68	188994	湖北	
600028	中国石化	0.17	565582080	    14.27	       5762.13亿	          0.10	石油加工	32	0.00	6.03	6.01	6.07	6.01	6.02	0.01	6.03	  0.71	935563	北京	
