代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
002254	泰和新材	1.93	96970224	0.23	12.16	12.17	80386	1461	0.00	          1.32	11.94	12.20	
300661	圣邦股份	8.25	93606392	7.08	92.89	92.98	10281	72	-0.11	          6.90	86.28	94.39	
300306	远方信息	4.80	89228840	0.76	16.58	16.59	55029	1572	0.06	          4.06	16.00	16.65	
002516	旷达科技	2.25	88431264	0.13	5.89	5.90	151909	2055	-0.16	          1.64	5.77	5.94	
600761	安徽合力	1.90	87813744	0.20	10.70	10.71	81851	5	0.00	          1.11	10.46	10.88	
300094	国联水产	3.74	87660376	0.27	7.48	7.49	118184	3077	0.54	          1.58	7.22	7.56	
300300	汉鼎宇佑	5.04	87346312	0.78	16.25	16.26	54598	1210	0.12	          2.00	15.65	16.29	
000851	高鸿股份	2.43	86977536	0.19	8.01	8.02	110208	1630	0.12	          1.86	7.80	8.04	
300609	汇纳科技	10.02	86554512	2.89	31.74	--  	28500	57	0.00	          5.39	28.98	31.74	
600195	中牧股份	3.93	85319728	0.79	20.90	20.91	41569	2	0.00	          0.97	20.17	20.95	
300709	精研科技	1.86	84275272	1.07	58.57	58.58	14664	284	-0.06	          6.67	57.69	58.67	
300149	量子高科	6.14	83977048	0.90	15.56	15.57	55219	464	0.00	          1.36	14.60	15.69	
600053	九鼎投资	4.59	82708144	1.01	23.03	23.04	35891	20	0.48	          0.83	22.35	23.99	
002876	三利谱	1.30	82441032	0.87	67.85	67.93	12122	80	0.07	          6.06	67.00	68.48	
300437	清水源	7.00	80174016	1.04	15.89	15.90	51423	746	0.00	          5.21	14.78	16.30	
300696	爱乐达	6.86	79013600	3.43	53.40	53.45	15075	621	0.47	          8.74	50.85	53.40	
002550	千红制药	3.95	78572192	0.22	5.79	5.80	137866	2214	0.00	          1.63	5.62	5.82	
603898	好莱客	5.55	78121544	1.60	30.37	30.41	25550	18	0.23	          2.87	29.58	31.70	
000707	双环科技	9.98	77938600	0.41	4.52	--  	175358	91	0.00	          3.78	4.11	4.52	
002425	凯撒文化	1.32	77778336	0.10	7.70	7.71	101424	3058	0.00	          1.35	7.60	7.79	
002549	凯美特气	9.95	77230984	0.57	6.30	--  	126756	219	0.00	          2.04	5.74	6.30	
002177	御银股份	3.38	76584008	0.16	4.89	4.90	158590	5749	0.20	          2.63	4.73	4.94	
000020	深华发Ａ	6.03	75620440	0.75	13.18	13.20	57488	403	0.23	          3.17	13.01	13.54	
002841	视源股份	3.78	75285744	2.74	75.27	75.28	10063	83	0.15	          2.48	73.85	75.88	
002489	浙江永强	2.50	73667776	0.11	4.51	4.52	162601	799	-0.21	          0.87	4.42	4.74	
002735	王子新材	6.82	73282240	2.20	34.45	34.46	21873	282	0.00	          5.21	32.20	35.40	
002328	新朋股份	2.12	72812616	0.14	6.75	6.76	109777	1649	0.15	          3.38	6.60	6.77	
300657	弘信电子	5.75	71581160	2.03	37.31	37.32	19627	328	0.43	          7.55	35.11	37.63	
002845	同兴达	6.37	70758600	1.36	22.70	22.71	32098	1357	0.58	          5.14	21.30	22.70	
000023	深天地Ａ	3.51	69242728	0.62	18.25	18.26	37694	691	0.33	          2.72	18.00	18.87	
603018	中设集团	1.34	69225496	0.37	28.03	28.05	24492	26	0.11	          1.18	28.60	28.68	
600262	北方股份	7.09	68946096	1.43	21.61	21.62	32948	23	-0.22	          1.94	20.10	21.72	
300589	江龙船艇	3.76	64975892	0.68	18.76	18.78	34294	775	-0.10	         10.28	18.58	19.60	
600986	科达股份	5.35	64067904	0.53	10.43	10.44	62678	5	0.10	          1.27	10.02	10.48	
600738	兰州民百	7.49	63455008	0.59	8.46	8.47	75775	1	-0.11	          2.06	7.90	8.67	
002184	海得控制	10.02	62979624	1.21	13.28	--  	47550	101	0.00	          3.50	13.28	13.28	
002798	帝王洁具	8.70	62788476	3.71	46.34	46.35	13908	285	0.19	          4.31	42.64	46.35	
300579	数字认证	4.82	61779816	2.01	43.72	43.73	14330	144	0.02	          4.99	41.68	43.88	
600310	桂东电力	5.27	60508776	0.27	5.38	5.39	113612	50	0.19	          1.37	5.20	5.58	
600843	上工申贝	3.96	59006076	0.39	10.24	10.25	58025	9	0.59	          1.90	9.85	10.37	
300581	晨曦航空	2.73	58857472	0.76	28.58	28.59	20280	260	-0.27	          6.46	29.09	30.00	
603385	惠达卫浴	3.43	57320844	0.64	19.34	19.35	29984	20	0.47	          4.22	18.79	19.57	
600419	天润乳业	0.12	56006296	0.05	42.42	42.48	12852	1	0.07	          1.44	42.05	45.28	
300607	拓斯达	4.07	55704980	2.58	65.89	65.90	8579	162	0.02	          2.63	63.02	66.50	
300491	通合科技	6.09	54750460	0.94	16.37	16.38	34138	435	0.18	          6.70	15.35	16.39	
600082	海泰发展	4.10	54416104	0.22	5.58	5.59	95837	1	-0.35	          1.52	5.42	5.90	
300689	澄天伟业	3.98	54060348	1.38	36.05	36.06	15233	414	0.14	          8.96	34.51	36.16	
300710	万隆光电	4.99	53927284	1.67	35.12	35.13	15690	576	-0.08	          8.97	33.90	35.17	
603668	天马科技	9.99	53522452	1.03	11.34	--  	47625	20	0.00	          2.56	10.72	11.34	
002789	建艺集团	3.04	52705064	1.10	37.23	37.25	14131	217	-0.58	          3.81	35.88	39.77	
002886	沃特股份	6.21	52552948	1.72	29.39	29.40	18104	539	-0.43	          9.23	28.58	29.55	
300720	海川智能	3.22	51229264	0.86	27.55	27.56	18861	229	-0.06	         10.48	26.47	27.85	
002877	智能自控	4.50	50020948	0.86	19.99	20.00	25228	574	-0.29	          8.26	19.08	20.51	
300084	海默科技	2.44	49592896	0.15	6.30	6.31	78919	1794	-0.15	          2.54	6.17	6.36	
600679	上海凤凰	3.07	49315552	0.50	16.79	16.80	29576	71	0.12	          1.55	16.16	17.12	
603922	金鸿顺	2.95	48429972	0.69	24.07	24.10	20166	22	-0.57	          6.30	23.60	24.45	
300632	光莆股份	5.61	46312864	1.02	19.21	19.22	23847	266	0.05	          8.24	18.42	20.01	
300505	川金诺	3.51	46219140	0.93	27.45	27.46	17057	459	0.07	          4.50	27.02	27.50	
603015	弘讯科技	6.22	45902956	0.47	8.02	8.03	58088	19	-0.24	          1.45	7.52	8.13	
300681	英搏尔	2.43	45472500	1.21	50.93	50.94	8948	242	0.16	          4.73	49.73	51.88	
600211	西藏药业	5.40	44530524	1.76	34.38	34.39	13141	5	0.20	          0.90	32.65	34.59	
600370	三房巷	1.90	44515936	0.06	3.20	3.23	136685	2385	-0.61	          1.71	3.15	3.35	
002200	云投生态	5.03	44482780	0.45	9.39	9.40	47753	668	0.00	          3.39	9.00	9.55	
002751	易尚展示	0.76	44196724	0.27	35.70	35.80	12461	525	0.96	          1.63	35.52	35.85	
000040	东旭蓝天	2.02	43916688	0.25	12.63	12.64	35396	846	0.16	          0.33	12.36	12.69	
300430	诚益通	9.49	42777016	1.65	19.03	19.04	23206	380	0.05	          3.51	17.38	19.09	
300260	新莱应材	10.02	42442716	1.23	13.50	--  	32078	126	0.00	          3.17	12.27	13.50	
600371	万向德农	4.57	42135308	0.42	9.61	9.63	43847	6	0.21	          1.95	9.25	9.76	
002612	朗姿股份	3.91	41513600	0.46	12.22	12.23	34610	705	0.00	          1.64	11.77	12.28	
603698	航天工程	3.53	38792608	0.63	18.47	18.50	21019	7	0.16	          0.51	17.96	18.65	
300011	鼎汉技术	3.93	38563092	0.40	10.58	10.59	36945	544	0.00	          0.83	10.30	10.61	
002755	东方新星	6.32	38002136	1.52	25.56	25.57	14671	194	0.04	          4.17	25.50	26.45	
603609	禾丰牧业	3.25	37582720	0.28	8.89	8.90	42325	20	0.34	          0.51	8.78	9.00	
002741	光华科技	3.91	37374652	0.56	14.86	14.87	25323	342	-0.33	          0.82	14.36	14.95	
300550	和仁科技	5.63	37246076	1.65	30.94	30.95	12220	120	0.23	          4.17	28.87	31.08	
000617	中油资本	3.56	36098100	0.48	13.94	13.95	25928	158	-0.20	          0.90	13.47	14.12	
600834	申通地铁	5.71	35057300	0.48	8.88	8.89	39933	70	-0.10	          0.84	8.37	9.04	
300220	金运激光	2.64	34960952	0.35	13.59	13.60	26276	540	-0.36	          2.10	13.30	13.68	
002526	山东矿机	1.95	34668560	0.11	5.73	5.74	60293	434	0.00	          1.31	5.63	5.94	
002388	新亚制程	3.44	34565264	0.26	7.82	7.83	44455	925	-0.12	          1.11	7.73	7.95	
300473	德尔股份	4.02	34305900	1.60	41.39	41.40	8369	102	0.07	          1.79	39.80	41.49	
002888	惠威科技	3.58	33153956	0.84	24.28	24.29	13587	221	0.08	          6.54	23.23	25.44	
000411	英特集团	6.34	32928794	1.30	21.76	21.80	15453	267	0.14	          0.75	20.58	22.05	
300512	中亚股份	1.29	31155186	0.21	16.47	16.48	18858	474	0.24	          2.42	16.27	16.90	
600099	林海股份	4.70	29554326	0.37	8.22	8.23	36480	110	-0.71	          1.66	7.87	8.37	
002667	鞍重股份	3.30	29015552	0.43	13.45	13.46	21717	274	0.07	          2.32	13.04	13.56	
