代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
603399	吉翔股份	3.56	111633264	0.53	15.40	15.41	73210	1	0.06	          1.47	14.87	
300558	贝达药业	3.14	111443904	1.72	56.52	56.53	19751	142	0.20	          1.16	54.72	
603595	东尼电子	10.01	108979480	9.02	99.17	--  	11373	2	0.00	          4.55	91.98	
600990	四创电子	2.97	106939912	1.53	52.93	53.00	20162	4	-0.20	          1.47	51.54	
601882	海天精工	2.12	105843880	0.25	12.03	12.04	87369	77	0.25	          6.94	12.00	
002356	赫美集团	7.23	105504464	1.92	28.46	28.48	38377	957	1.35	          1.35	26.82	
01257	中国光大绿色环保	5.38	104790384	0.400	7.820	7.840	13524967	171000	0.38	          0.65	7.450	
300386	飞天诚信	1.82	104467016	0.28	15.63	15.64	67095	1362	0.19	          3.28	15.70	
002885	京泉华	10.00	103213808	2.98	32.78	--  	32054	50	0.00	         16.03	31.89	
600855	航天长峰	0.23	102871744	0.03	13.17	13.18	77657	9	0.23	          2.35	13.55	
603578	三星新材	0.25	102711768	0.09	35.82	35.90	28240	8	0.93	         12.84	36.30	
002850	科达利	5.56	102409656	2.70	51.29	51.30	20382	584	0.69	          3.29	49.48	
600562	国睿科技	1.60	100342336	0.32	20.36	20.38	49251	38	0.39	          1.50	20.30	
02357	中航科工	1.36	99967560	0.060	4.450	4.460	22438000	812000	-0.22	          0.95	4.460	
002452	长高集团	10.00	99610608	0.56	6.16	--  	162958	207	0.00	          4.27	6.16	
300229	拓尔思	2.15	99516688	0.29	13.80	13.81	72663	1487	0.07	          1.63	13.65	
002288	超华科技	4.07	97151504	0.21	5.37	5.38	183309	2217	0.00	          2.78	5.19	
002023	海特高新	2.44	96255296	0.23	9.65	9.66	100152	1451	0.21	          1.52	9.50	
002264	新 华 都	1.00	95814072	0.08	8.10	8.11	118086	3100	0.25	          2.05	8.00	
603933	睿能科技	0.31	95412968	0.13	41.62	41.64	23216	18	0.07	          9.04	41.03	
600027	华电国际	1.08	95191568	0.04	3.72	3.73	257064	5	0.00	          0.38	3.67	
300209	天泽信息	3.70	93566520	0.67	18.77	18.78	50755	882	0.27	          2.08	18.13	
002327	富安娜	0.34	92615952	0.04	11.69	11.70	79741	2672	0.09	          1.60	11.65	
300729	乐歌股份	6.56	92342848	1.70	27.59	27.60	33822	549	-0.53	         15.73	26.59	
601005	*ST重钢	2.40	92333376	0.06	2.55	2.56	363528	100	0.39	          0.43	2.49	
300687	赛意信息	0.81	92052680	0.41	51.09	51.10	18331	328	0.20	          9.17	50.00	
002106	莱宝高科	2.50	91451072	0.20	8.20	8.21	111438	2029	-0.23	          1.58	8.01	
002747	埃斯顿	3.46	90925960	0.37	11.06	11.07	82814	1214	0.09	          2.93	10.48	
002429	兆驰股份	2.73	90742800	0.09	3.38	3.39	268688	2723	0.00	          0.68	3.38	
300306	远方信息	4.80	89228840	0.76	16.58	16.59	55029	1572	0.06	          4.06	16.00	
03380	龙光地产	1.47	87877616	0.160	11.060	11.080	7934000	182000	-0.18	          0.14	11.000	
300300	汉鼎宇佑	5.04	87346312	0.78	16.25	16.26	54598	1210	0.12	          2.00	15.65	
603081	大丰实业	4.05	87044320	0.93	23.89	23.91	37046	3	0.13	          7.15	23.02	
300339	润和软件	2.40	86244976	0.24	10.25	10.26	84520	1218	0.29	          1.68	10.28	
600133	东湖高新	0.32	85537240	0.03	9.48	9.49	90170	60	0.11	          1.68	9.47	
002278	神开股份	0.10	84392840	0.01	10.48	10.49	80819	1436	0.19	          2.36	10.48	
300149	量子高科	6.14	83977048	0.90	15.56	15.57	55219	464	0.00	          1.36	14.60	
002657	中科金财	1.55	83165592	0.30	19.63	19.64	42410	621	0.00	          1.54	19.41	
600053	九鼎投资	4.59	82708144	1.01	23.03	23.04	35891	20	0.48	          0.83	22.35	
002684	猛狮科技	0.29	82691624	0.04	13.86	13.88	60109	481	0.29	          1.86	13.82	
600080	金花股份	4.23	82408480	0.37	9.10	9.11	91230	5	0.11	          2.99	8.80	
002625	光启技术	2.77	82095544	0.70	25.99	26.00	31707	1046	0.19	          1.26	25.75	
600695	绿庭投资	4.30	80280096	0.47	11.39	11.40	72520	2	0.09	          1.98	10.91	
603885	吉祥航空	0.43	80242984	0.07	16.20	16.21	49424	50	-0.11	          0.92	16.13	
300437	清水源	7.00	80174016	1.04	15.89	15.90	51423	746	0.00	          5.21	14.78	
600114	东睦股份	3.43	78983280	0.51	15.38	15.39	51836	10	-0.25	          1.23	14.98	
002550	千红制药	3.95	78572192	0.22	5.79	5.80	137866	2214	0.00	          1.63	5.62	
000584	哈工智能	0.79	78133664	0.12	15.29	15.30	51221	690	0.53	          0.84	15.20	
603898	好莱客	5.55	78121544	1.60	30.37	30.41	25550	18	0.23	          2.87	29.58	
01462	金诚控股	1.24	77104000	0.040	--  	--  	23834000	4000	0.31	          0.60	3.210	
002510	天汽模	0.19	77069440	0.01	5.33	5.34	144757	1169	0.00	          2.03	5.30	
300543	朗科智能	3.78	76684416	0.89	24.45	24.46	31923	682	-0.15	          7.49	23.90	
002177	御银股份	3.38	76584008	0.16	4.89	4.90	158590	5749	0.20	          2.63	4.73	
300298	三诺生物	1.69	76490416	0.37	22.31	22.35	34141	370	0.09	          1.14	21.80	
002214	大立科技	4.22	76458160	0.28	6.90	6.91	111941	2112	0.29	          3.07	6.68	
002602	世纪华通	2.26	76280632	0.75	33.98	33.99	22657	457	0.06	          0.22	33.58	
000020	深华发Ａ	6.03	75620440	0.75	13.18	13.20	57488	403	0.23	          3.17	13.01	
300671	富满电子	3.22	74509520	1.12	35.93	35.95	20933	588	-0.24	          8.26	34.80	
600686	金龙汽车	0.32	73634992	0.04	12.72	12.73	58052	50	-0.07	          1.31	12.80	
002329	皇氏集团	0.16	73417832	0.01	6.26	6.27	117285	1162	0.00	          2.07	6.21	
000559	万向钱潮	0.22	72842568	0.02	9.06	9.07	80651	1409	0.11	          0.29	9.05	
002328	新朋股份	2.12	72812616	0.14	6.75	6.76	109777	1649	0.15	          3.38	6.60	
300079	数码科技	0.81	71736376	0.03	3.75	3.76	192022	1854	-0.26	          1.59	3.71	
000023	深天地Ａ	3.51	69242728	0.62	18.25	18.26	37694	691	0.33	          2.72	18.00	
603018	中设集团	1.34	69225496	0.37	28.03	28.05	24492	26	0.11	          1.18	28.60	
600765	中航重机	1.15	67821752	0.12	10.60	10.61	63761	12	-0.18	          0.82	10.55	
600622	光大嘉宝	3.26	67533264	0.48	15.20	15.22	44273	10	0.07	          0.66	14.66	
002261	拓维信息	1.07	66509120	0.07	6.63	6.64	101043	1223	-0.14	          1.04	6.61	
000090	天健集团	0.31	65410408	0.03	9.81	9.82	66297	918	-0.09	          0.86	9.79	
300589	江龙船艇	3.76	64975892	0.68	18.76	18.78	34294	775	-0.10	         10.28	18.58	
600862	中航高科	2.74	64948696	0.23	8.63	8.64	75826	1	0.12	          0.96	8.50	
002568	百润股份	1.63	64677680	0.21	13.12	13.13	49176	1137	-0.29	          1.29	12.89	
300366	创意信息	1.70	64663940	0.18	10.75	10.76	60882	1502	0.47	          2.35	10.62	
002446	盛路通信	1.85	63672220	0.15	8.25	8.26	78470	3725	0.36	          1.85	8.20	
002114	罗平锌电	0.19	63203900	0.03	16.19	16.24	39035	1616	0.56	          1.21	16.22	
300118	东方日升	0.58	63086520	0.07	12.13	12.14	52105	261	0.17	          1.03	12.09	
002184	海得控制	10.02	62979624	1.21	13.28	--  	47550	101	0.00	          3.50	13.28	
300081	恒信东方	0.44	62253384	0.05	11.39	11.40	54289	1488	-0.08	          2.21	11.26	
300456	耐威科技	3.84	61041660	1.28	34.58	34.60	17801	568	-2.03	          2.46	33.31	
300184	力源信息	1.26	60965716	0.14	11.28	11.29	54468	1251	0.18	          1.81	11.20	
600677	航天通信	0.81	60797012	0.08	9.98	9.99	60724	20	-0.09	          1.46	10.11	
600310	桂东电力	5.27	60508776	0.27	5.38	5.39	113612	50	0.19	          1.37	5.20	
300241	瑞丰光电	0.12	60418292	0.02	17.33	17.34	34711	700	0.17	          1.89	17.31	
002064	华峰氨纶	0.78	60404032	0.04	5.15	5.16	117550	751	0.39	          0.77	5.15	
300554	三超新材	3.96	59760664	2.98	78.27	78.28	7724	205	-0.02	          5.94	76.26	
600843	上工申贝	3.96	59006076	0.39	10.24	10.25	58025	9	0.59	          1.90	9.85	
300581	晨曦航空	2.73	58857472	0.76	28.58	28.59	20280	260	-0.27	          6.46	29.09	
600185	格力地产	0.75	58856760	0.04	5.39	5.40	108843	227	0.19	          0.53	5.39	
002253	川大智胜	0.57	57857636	0.10	17.54	17.55	33233	892	0.11	          1.59	17.59	
300357	我武生物	0.06	57324060	0.03	49.76	49.77	11429	77	-0.05	          0.81	50.20	
002097	山河智能	0.93	56977244	0.07	7.56	7.57	75525	920	0.13	          1.25	7.48	
600419	天润乳业	0.12	56006296	0.05	42.42	42.48	12852	1	0.07	          1.44	42.05	
